sku,name,brand,category_hint,vehicle_make,vehicle_model,year,oem_cross_ref,replaced_by,price,stock,notes
REF0714,Valeo Kit Cadena XR150 2016,Valeo,,Honda,,2016,4964492,,$ 44279,51,
P00130,Battery XR150,Wix,battery,Honda,,2020,8628202,,35662,23,
SKU-0102,Acumulador Suzuki GN125 2016,SKF,,Suzuki,GN125,,98605-40051,,11677,36,
SKU-0172,Filtro Aire Motor Aveo,Valeo,air_filter,Chevrolet,Aveo,,90677-79756,,$320.859,24,
SKU-0703,Past. Freno Suzuki GN125 2018,Sachs,brake_pad,Suzuki,,2018,A1315,,17507,18,
REF0016,Bosch Fluido de Frenos,,brake_fluid,,Boxer,,1916838,,15007.00,55,
SKU-0611,LIMPIAPARABRISAS Mazda 3 2014 Hengst,Hengst,wiper,Mazda,3,2014,OEM 95655,,$320.330,15,
SKU-0132,Kit de Embrague Toyota Yaris 2017 Sachs,Sachs,,Toyota,Yaris,2017,OEM 94946,,10805,,
REF0291,Foco H-7 Yamaha NMAX 2022 SKF,SKF,,Yamaha,,2022,92059-42355,,52718,41,
B-0162,cadena NKD125 2015 Mahle,Mahle,,AKT,NKD125,2015,,,$8.537,5,
SKU-0540,Aceite 5W-30 x1L Monroe,Monroe,engine_oil,Toyota,,,5533634,,45259,3,
M-0820,Gates Aceite 5W30 Mineral,Gates,,Bajaj,Pulsar,,OEM 99631,P00819,119341.00,3,descontinuado
SKU-0732,Acumulador Nissan Versa,Generic,battery,,Versa,,W4926,,$ 14770,8,
REF0032,Filtro de aceite motor Aveo 2016 Mahle,Mahle,oil_filter,Chevrolet,Aveo,,A8492,,12258.00,,
SKU-0268,Air Filter Renault Logan Champion,Champion,,,Logan,2014,A2875,,35070,50,
SKU-0544,NGK Correa de Distribucion Chevrolet Aveo 2011,NGK,,Chevrolet,Aveo,2011,W1805,,28464,48,
SKU-0671,BATERIA Mazda 2 2017 Mahle,Mahle,battery,Mazda,2,2017,B8735,,69259,3,
SKU-0225,Liq. Frenos,Gates,brake_fluid,AKT,NKD125,2017,,,45538,43,
SKU-0821,F.FILTER Nissan Versa 2019,Mahle,,Nissan,Versa,2019,,,85520,25,
P00417,Aceeite Motor 5W-30 Logan,Generic,engine_oil,Renault,Logan,2012,6208501,,30274,46,
SKU-0246,CLUTCH KIT Toyota Yaris 2014 Wix,Wix,,,Yaris,2014,,,$ 26759,31,
SKU-0036,Filtro Aire Motor Sail,Monroe,air_filter,Chevrolet,,2017,,,$ 319531,7,
B-0009,Correa Poly-V 3 Denso,Denso,serpentine_belt,Mazda,3,2016,1129294,,$239.144,few,
P00400,FILTRO DE ACEITE Bajaj Boxer Valeo,Valeo,oil_filter,Bajaj,Boxer,,7764171,,COP 163593,50,
SKU-0494,Liq. Frenos Yaris Mann,Mann,brake_fluid,,,2019,8832133,,27886,49,
P00768,Denso Cadena Moto Bajaj Boxer 2013,Denso,chain,,Boxer,2013,,,$ 29799,60,
P00259,Brake Pads Boxer 2017 Monroe,Monroe,,Bajaj,,2017,W5758,,68188,40,
SKU-0660,Correa de tiempo Sandero 2015 Mahle,Mahle,timing_belt,Renault,Sandero,2015,,,$46.604,24,
P00402,Bulb H-7 Hilux,Mahle,bulb,,,2012,OEM 71140,,164053,60,
P00448,Brake Rotor Volkkswagen Gol 2016,Monroe,brake_disc,Volkswagen,Gol,2016,7573475,,$50.214,26,
REF0745,Mahle Pinon Boxer 2013,Mahle,sprocket,Bajaj,Boxer,2013,,,COP 28825,45,
SKU-0637,Fram Lampara H4 12V 60/55W Honda CB125 2018,Fram,bulb,Honda,CB125,2018,3589239,,86391,39,
SKU-0293,Battery 2 2015,,battery,Mazda,,2015,97883-60119,,$ 321438,42,
B-0090,brake pad set Sail 2015,Generic,brake_pad,Chevrolet,Sail,2015,A2076,,$166.001,59,
REF0653,FILTRO DE AIRE FZ16 2017 OEM,OEM,,Yamaha,FZ16,2017,,,$33.157,28,
P00766,amortiguador delantero Renault Sandero 2013,Hengst,shock,Renault,Sandero,2013,,,27017,42,posible duplicado
SKU-0362,Filtro de gasolina NGK,NGK,,Chevrolet,Sail,,OEM 90967,,$ 53588,21,
P00103,PASTILLAS DE FRENO Logan 2018,TRW,,Renault,Logan,2018,OEM 33014,,$ 12686,53,
SKU-0440,Filtro Aire Motor Toyota Yaris 2014 Gates,Gates,air_filter,Toyota,,2014,6195864,,318232,11,
B-0840,Past. Freno Nissan Sentra 2018 Denso,Denso,,Nissan,Sentra,,OEM 46933,,84623,42,reemplazado por SKU-0839
REF0015,SKF a.filter XR150,SKF,,Honda,XR150,2016,B8070,,67654,few,
SKU-0255,O.Filter Renault Sandero Mann,,oil_filter,Renault,Sandero,2017,,,50055,15,
P00471,Cabin Filter Nissan Sentra 2018,Generic,cabin_filter,Nissan,Sentra,,8441285,,$163.058,31,
P00755,Bosch Spark Plug Chevrolet Spark,Bosch,spark_plug,Chevrolet,,2011,5605490,,COP 241895,38,
M-0694,Brake Pad Set Mann,Mann,,Nissan,Sentra,,,,121154,44,
SKU-0594,Balinera Hilux Monroe,,wheel_bearing,Toyota,Hilux,,,,164248,38,
SKU-0418,Mahle aceite de motor 20W-50 x1L Sandero,Mahle,engine_oil,Renault,Sandero,2017,,,164769,4,
REF0849,Disco Freno Mazda 3 ventilado,Wix,,,,,97035-18234,,12878,few,ojo: variante
P00582,BUJIA Renault Logan Gates,,spark_plug,Renault,Logan,,OEM 14965,,68885,6,
SKU-0548,aceite 15W40 4L,Purflux,engine_oil,Chevrolet,Sail,2017,,,COP 28004,58,
SKU-0702,Lampara H1 Honda CB125 Denso,Denso,,Honda,CB125,2016,OEM 60089,,66947,4,
SKU-0136,Filtro Aceite Suzuki GN125 2016,Mann,,Suzuki,GN125,,OEM 57921,,$ 163611,55,
SKU-0719,Rodamiento,SKF,,Mazda,3,,S4123,,COP 10700,2,
P00258,Denso Cabin Filter Nissan Versa 2016,Denso,cabin_filter,Nissan,Versa,2016,,,$ 17307,4,
SKU-0263,PASTILLAS DE FRENO 2 2017 OEM,OEM,brake_pad,,2,2017,A4559,,53907.00,23,
SKU-0644,Filtro Aire Kia Rio 2017,Mahle,air_filter,Kia,Rio,2017,96126-46325,,$ 165572,27,
REF0731,Brembo Filtro Gasolina Mazda 2 2019,Brembo,fuel_filter,Mazda,2,,,,$318.048,52,
SKU-0482,Lubricante Motor 15W40 Sintetico Dayco,Dayco,engine_oil,,3,2012,S1925,,43608,25,
SKU-0573,Valeo Clutch Aveo 2016,,,,,,91832-77013,,20567.00,55,
SKU-0727,Aceite Motor 5W30 Sintetico Logan Dayco,Dayco,engine_oil,,Logan,,,,163679,22,
SKU-0523,Rodamiento Hilux NGK,NGK,,Toyota,Hilux,,,,$43.572,36,
SKU-0048,Pastillas Freno AKT NKD125 2019 Monroe,Monroe,brake_pad,AKT,NKD125,,,,43438,24,
M-0759,Valeo Plumilla Mazda 3,Valeo,,,3,2012,94925-25870,,321845,,
SKU-0069,Embrague Hyundai Accent SKF,SKF,,,Accent,,W6248,,$51.986,43,
SKU-0389,Filtro Gasolina Chhevrolet Sail 2015 Sachs,Sachs,fuel_filter,Chevrolet,Sail,2015,3870623,,$ 68746,34,
SKU-0269,Pastillas Freno Honda XR150 2016,,brake_pad,Honda,XR150,2016,OEM 72388,,27229.00,53,
REF0111,DOT4 SKF,,brake_fluid,Honda,CB125,,2337423,,27016.00,23,
P00019,Generic Filtro de aceite motor Yamaha FZ16 2015,Generic,oil_filter,Yamaha,FZ16,,B7630,,32222.00,,
C-0439,TRW Coolant Concentrate,TRW,,Hyundai,Accent,,S3604,,13501,8,
SKU-0278,BUJIA Mazda 3 2016 OEM,OEM,,Mazda,,,99149-32604,,$ 319472,51,
SKU-0578,Drive Belt Chevrolet Spark 2015,Fram,serpentine_belt,Chevrolet,Spark,2015,W4207,,$ 12088,7,
SKU-0527,DOT4,Generic,,Yamaha,,2019,W5574,,COP 35273,0,
SKU-0234,Amortiguador Trasero Chevrolet Spark 2015 Mahle,Mahle,shock,Chevrolet,Spark,2015,8774309,,$319.301,31,
SKU-0515,liquido frenoos,Champion,,Mazda,,2019,1254416,,$ 15296,19,
SKU-0237,Gates Cadena Moto GN125,Gates,chain,,GN125,2012,S8693,,53822,36,
SKU-0135,Bombillo Halogeno H-7 AKT NKD125 2019,Dayco,bulb,AKT,,2019,OEM 69396,,67139,18,
SKU-0189,Coolant,Valeo,coolant,Nissan,Versa,2014,90579-51113,,45568,,
A-0012,ACEITE DE MOTOR SAE 5W-30 x1L TRW,TRW,engine_oil,Chevrolet,Aveo,2011,,,$ 321758,agotado,
SKU-0199,past. freno Renault Logan 2016 SKF,SKF,,Renault,Logan,2016,B4152,,319926,30,
REF0106,Amortiguador Bajaj Boxer 2017 Wix,Wix,,Bajaj,Boxer,,,,$ 86129,40,
SKU-0480,Mann Amortiguador Trasero Bajaj Pulsar 2014,,shock,Bajaj,Pulsar,2014,94999-99248,,$83.385,,
P00147,Aceite Motor 0W-20 4L,,,Chevrolet,Aveo,2011,5353578,,$29.916,32,
SKU-0127,Bearing Aveo Hengst,Hengst,wheel_bearing,Chevrolet,,2013,92986-91319,,COP 320640,31,
P00358,TRW Air Filtt 3 2018,,,Mazda,3,2018,,,$321.544,19,
SKU-0803,Escobilla Duster,Mann,wiper,,Duster,2021,4714525,,66319,41,
P00020,Denso Serpentine Belt Kia Rio 2013,Denso,,,Rio,,6673648,,33001,14,
SKU-0376,OEM SPARK PLUG Aveo 2013,OEM,,Chevrolet,Aveo,2013,98370-20767,,$165.222,agotado,
P00819,ACEITE MOTOR 10W40 NGK,NGK,engine_oil,Bajaj,,2014,OEM 37847,,$17.408,38,
SKU-0656,Batería Sachs,Sachs,battery,,,2019,91243-59858,,320911,16,
SKU-0327,Wiper,Generic,,,Sentra,2018,B4631,,20908,19,
P00795,Monroe Timing belt kit Sandero,Monroe,timing_belt,Renault,,2017,W2168,,45246,22,
SKU-0801,Kit Cadena Yamaha FZ16 2017 SKF,SKF,,,FZ16,2017,OEM 65651,,COP 119141,44,
SKU-0682,Amort. Gol 2016,,shock,,Gol,,94533-60878,,$ 35047,38,
SKU-0037,Battery NMAX Dayco,Dayco,,Yamaha,NMAX,2020,,,21324,2,
REF0785,Bombillo Halogeno h7 NGK,NGK,,Yamaha,NMAX,2020,B7784,,$ 239511,35,
P00805,Filtro de CCabina Chevrolet Sail 2015 Dayco,Dayco,cabin_filter,Chevrolet,Sail,,OEM 86296,,$ 68402,4,
SKU-0324,Chain Kit Yamaha FZ16 2017,Mahle,chain,Yamaha,FZ16,2017,93902-16776,,COP 20043,60,
SKU-0481,Chain Kit Honda CB125 2020 OEM,,chain,Honda,CB125,,7918991,,$16.369,51,
SKU-0435,DISCO FRENO Hyundai Accent 2012,SKF,brake_disc,,Accent,2012,2387503,,16728,46,
SKU-0696,Gates amortiguador trasero Renault Duster,,,Renault,Duster,2014,93645-50592,,27759,31,
SKU-0751,Hengst Disco Freno,Hengst,,Nissan,Sentra,,OEM 28309,,86712,48,
B-0265,Coolant Concentrate,Monroe,coolant,Nissan,,2018,2924563,,119783.00,44,
P00538,Past. Freno,Wix,,Suzuki,GN125,2014,93220-26310,,$69.758,25,
SKU-0316,BUJIA Honda XR150 2016,Gates,,Honda,XR150,,OEM 53715,,118847,9,
REF0569,LIQ. FRENOS,Purflux,,Renault,Sandero,2017,OEM 23239,,7769,9,
B-0633,Monroe Batería,Monroe,,,FZ16,2019,A6373,,$ 118922,56,
C-0008,Headlight Bulb h7 Boxer 2013 Sachs,Sachs,bulb,Bajaj,Boxer,2013,3823588,,69744,42,
SKU-0379,Brake Disc Sachs,Sachs,brake_disc,Mazda,2,,91921-29182,,34174.00,54,
P00509,Liquido Refrigerante Generic,Generic,,,CB125,2020,OEM 10320,,321271,agotado,
SKU-0792,Dayco Correa de tiempo Toyota Yaris 2019,Dayco,,Toyota,Yaris,,5817522,,10957,38,posible duplicado
B-0154,Sachs Liq. Frenos,Sachs,brake_fluid,,,,W8248,,119739,,
SKU-0712,Denso Brake Disc Renault Duster 2021,Denso,,Renault,,2021,,,238140,29,
SKU-0080,Lampara H4 12V 60/55W Wix,Wix,,Toyota,Corolla,2017,7264920,,86770.00,3,
P00002,OEM Pastillas Freno FZ16 2015,,brake_pad,,,2015,OEM 17812,,$83.843,50,
SKU-0074,Bulb H-7 Suzuki GN125 2016 Monroe,Monroe,bulb,,GN125,,96535-82652,,$45.233,7,
SKU-0286,Mann Lubricante Motor 10W-40,Mann,engine_oil,Toyota,Corolla,,OEM 90808,,7859,53,
SKU-0769,Rodamiento Toyota Hilux 2020 SKF,,wheel_bearing,Toyota,,2020,OEM 38778,,66620,agotado,
SKU-0534,Drive Chain Honda CB125,Wix,chain,Honda,CB125,2018,OEM 56295,,$50.537,46,
SKU-0422,Acumulador Yamaha FZ16 2015,Dayco,battery,Yamaha,FZ16,,S1446,,COP 28079,19,
P00498,BRAKE DISC,Valeo,brake_disc,Renault,Logan,,W3174,,COP 35595,16,
C-0350,Hengst Bearing,Hengst,wheel_bearing,,Aveo,2016,6536726,,120007,24,
REF0057,RODAMIENTO RUEDA Volkswagen Gol 2016,Sachs,wheel_bearing,Volkswagen,Gol,,90440-24666,,$ 12547,10,
REF0621,Purflux Brake Pads Honda XR150 2018,Purflux,brake_pad,Honda,XR150,2018,97770-28217,,84262,0,
REF0504,Bateria 12V Mann,Mann,battery,Renault,Sandero,,,,$22.623,8,
SKU-0748,Denso Amortiguador Renault Duster,,shock,Renault,Duster,2014,OEM 88048,,$30.367,,
SKU-0669,Shock Absorber NKD125 2017,NGK,,AKT,NKD125,2017,OEM 75007,,320678,19,
A-0783,Drive Belt Toyota Hilux 2015,NGK,serpentine_belt,Toyota,Hilux,,94910-88934,,$118.923,agotado,
REF0575,Mann Limpiaparabrisas Renault Duster 2019,Mann,,Renault,,2019,2975730,,COP 84746,few,
B-0392,Filtro de Combustible Toyota Hilux 2020 Fram,Fram,,Toyota,,,,,118548,23,
SKU-0412,FILTRO DE AIRE Mazda 2 2017,Gates,,Mazda,2,2017,,,35121.00,22,
SKU-0304,cabin filter Sandero 2015 Champion,Champion,cabin_filter,,Sandero,,OEM 72413,,COP 20184,,
P00701,Coolant Concentrate Dayco,Dayco,coolant,Yamaha,NMAX,2018,S5463,,320966,0,
REF0438,SKF Kit Cadena Honda XR150 2020,SKF,chain,Honda,XR150,2020,S6920,,$13.883,8,
SKU-0655,Plumillas Renault Logan 2016 NGK,,wiper,Renault,,2016,OEM 41300,,35571,,
P00756,Correa de tiempo Kia Rio 2013 Valeo,Valeo,timing_belt,Kia,Rio,2013,OEM 56695,,44601,25,
P00506,Hengst CLUTCH KIT Mazda 2 2017,Hengst,clutch_kit,Mazda,2,2017,B1135,,$ 165328,24,
REF0382,NGK Pinon Salida CB125,NGK,sprocket,,CB125,2018,8908684,,$ 7376,35,
P00202,TRW Bujia de encendido Honda CB125 2014,TRW,spark_plug,Honda,CB125,2014,OEM 83178,,21785,37,
P00823,FILTRO DE ACEITE Boxer SKF,SKF,oil_filter,Bajaj,Boxer,2017,A9081,,46497,agotado,
SKU-0007,Rodamiento rueda Mazda 2 2017,Mann,,Mazda,2,2017,OEM 13342,,13581,41,
SKU-0046,ACEITE MOTOR SAE 5W-30 x1L,Fram,engine_oil,Honda,CB125,2014,B7627,,86466,37,
SKU-0607,Bulb H4 Honda XR150 2016 Monroe,Monroe,,Honda,XR150,2016,OEM 28578,,$13.304,,
SKU-0195,Kit Cadena Bajaj Boxer 2017 Champion,Champion,chain,Bajaj,,2017,,,11657,12,
SKU-0096,Filtrro Aire Motor Hilux 2016,Purflux,air_filter,Toyota,Hilux,2016,A1988,,$ 86928,18,
REF0475,OEM Rodamiento rueda,OEM,,,Spark,,A1305,,45506,26,
SKU-0391,Kit Clutch Aveo,,clutch_kit,Chevrolet,,2016,OEM 94046,,121223,21,
P00190,Kit Arrastre Honda CB125 2014,NGK,sprocket,Honda,CB125,2014,94262-66542,,$ 163484,0,
P00220,Liquido Refrigerante TRW,TRW,,Yamaha,NMAX,2018,B1287,,$ 120258,agotado,
SKU-0005,PLUMILLAS 3 Denso,Denso,,Mazda,3,2012,,,320253,23,
SKU-0387,Amortiguador Trasero,Generic,shock,Nissan,,2015,2444939,,$8.453,50,
SKU-0431,Filtro Ac. NKD125 Purflux,Purflux,oil_filter,AKT,,2019,OEM 19957,,118914.00,25,
SKU-0404,Bujia Nissan Versa Monroe,Monroe,,,,2014,,,$ 17656,42,
P00128,WIPER Mazda 2 2019 Champion,,,Mazda,2,2019,,,33287,22,
M-0750,foco H-7 Volkswagen Gol 2014,,,Volkswagen,Gol,,S8536,,$166.227,30,
B-0786,Filtro de aceite motor Aveo 2009 Champion,,,Chevrolet,Aveo,2009,8952139,,33896,7,posible duplicado
SKU-0436,Mahle FILTRO DE AIRE Boxer 2017,Mahle,,Bajaj,Boxer,2017,6554187,,$ 319646,agotado,
SKU-0628,Kit Arrastre Bajaj Pulsar 2018 SKF,SKF,sprocket,Bajaj,Pulsar,,6994145,,67771,4,
P00196,Mahle KIT DE EMBRAGUE Hyundai Accent 2012,,,Hyundai,Accent,2012,,,$ 10245,16,
SKU-0519,Valeo Disco Freno Kia Rio 2013,Valeo,,Kia,Rio,2013,W8623,,67259,33,
SKU-0344,NGK pinon GN125 2018,NGK,sprocket,Suzuki,GN125,2018,90264-35650,,$ 320350,5,
P00168,Correa Unica Kia Rio 2017 Fram,Fram,serpentine_belt,,Rio,2017,90933-99592,,12283,33,
SKU-0275,Mahle Timing belt kit Versa 2019,,timing_belt,Nissan,Versa,2019,8403460,,$16.252,38,
P00630,Bujia 3 2016 Gates,Gates,,Mazda,3,2016,OEM 34192,,320249.00,20,
REF0558,Monroe Correa de Distribucion Mazda 2 2019,Monroe,,Mazda,2,2019,S8888,,$83.049,55,
P00351,aceite motor 15W40,Champion,,,XR150,,,,$318.919,31,
P00383,Bujia Fram,Fram,,Honda,XR150,2016,OEM 40568,,320447,1,
P00314,PASTILLAS DE FRENO Spark 2010,Hengst,,Chevrolet,,2010,W2069,,COP 35571,agotado,
SKU-0170,Dayco Rodamiento de Rueda Volkswagenn Gol,Dayco,wheel_bearing,Volkswagen,,2016,W1876,,$ 84219,24,
P00516,Champion Cadena Moto Honda XR150 2016,Champion,,Honda,XR150,2016,A5125,,28478,50,
B-0184,Pinon Fram,Fram,sprocket,,,2019,90623-71149,,8146,15,
SKU-0284,Kit de Embrague Yaris 2014 TRW,TRW,clutch_kit,Toyota,Yaris,2014,,,20907,,
SKU-0335,Sachs PASTILLAS DE FRENO Kia Rio 2015,Sachs,brake_pad,Kia,Rio,2015,,,$69.845,51,
M-0797,Hengst bujia NKD125 2017,Hengst,,AKT,NKD125,2017,2420152,,86170.00,37,
C-0646,filtro habitaculo Toyota Yaris 2014,Wix,cabin_filter,Toyota,Yaris,2014,3610124,,COP 121558,,
SKU-0232,Cadena Moto Honda XR150,Valeo,,Honda,,2016,,,$ 30016,agotado,
SKU-0559,Spark Plg Honda CB125 2020 Sachs,Sachs,,Honda,CB125,,,,$ 34609,53,
SKU-0027,pastillas freno Kia Rio 2020 Dayco,Dayco,,,Rio,,96437-61139,,320413,49,
A-0725,Filtro Combustible Yaris,Sachs,fuel_filter,,Yaris,2014,92392-32847,,35300,38,
SKU-0283,Amortiguador Trasero Mann,Mann,shock,Honda,CB125,2016,A3858,,50311,,
P00818,Coolant Concentrate Mann,,coolant,Suzuki,GN125,,OEM 34544,,COP 53788,agotado,reemplazado por SKU-0817
SKU-0501,Clutch Kit Sail 2019,OEM,clutch_kit,Chevrolet,Sail,2019,94700-99949,,68067,50,
REF0371,Wix Correa Poly-V Volkswagenn Gol 2011,Wix,serpentine_belt,,Gol,,9542007,,$13.094,21,
A-0787,Hengst disco Chevrolet Aveo 2013,Hengst,brake_disc,,Aveo,,OEM 11384,,$166.712,29,posible duplicado
SKU-0778,Denso Disco de Freno Mazda 3,Denso,brake_disc,,3,2014,S3795,,10520,agotado,
SKU-0407,PASTILLAS DE FRENO 3 OEM,OEM,brake_pad,,3,2014,OEM 41417,,8629,26,
P00649,Clutch Chevrolet Aveo Hengst,Hengst,,Chevrolet,,2011,,,164926,48,
SKU-0542,A.Filter Toyota Yaris 2017,Sachs,,,,2017,,,318002.00,35,
SKU-0565,Disco Nissan Versa 2016 OEM,OEM,brake_disc,Nissan,Versa,,OEM 64902,,$ 67087,0,
C-0415,Disco Freno TRW,TRW,,Toyota,,2015,2304956,,$ 120342,52,
SKU-0452,Amort. Brembo,Brembo,shock,,,2019,OEM 73669,,45627.00,44,
REF0204,Champion Rodamiento rueda Chevrolet Aveo 2013,Champion,wheel_bearing,,Aveo,2013,OEM 65153,,$118.318,22,
P00113,balinera Toyota Hiluxx 2015 Purflux,Purflux,wheel_bearing,,Hilux,2015,,,$120.803,8,
P00550,Rodamiento OEM,OEM,,,,2019,,,85331,10,
SKU-0187,Dayco Filtro Aire Yamaha NMAX 2020,Dayco,,,NMAX,2020,S8464,,COP 46783,59,
SKU-0526,BATERIA Yamaha FZ16 2015 Champion,Champion,,Yamaha,,2015,6678572,,121167,41,
SKU-0688,Bulb H1 Honda XR150 2020,Wix,bulb,Honda,,,,,51140,3,
SKU-0059,REFRIGERANTE Sachs,Sachs,,Bajaj,Pulsar,2014,OEM 76025,,53487,51,
P00226,Filtro Ac. Aveo Dayco,Dayco,,,Aveo,2016,95295-72864,,52030,2,
SKU-0589,Bujía,Sachs,spark_plug,,,,W6765,,164539,10,
P00075,Pastillas GN125 2012 Purflux,Purflux,brake_pad,,,2012,A3970,,$318.151,agotado,
B-0626,Pastillas de Freno Sentra 2018 Dayco,Dayco,brake_pad,Nissan,Sentra,,1354541,,163147,53,
P00426,Brake Pads Volkswagen Gol 2011 Purflux,Purflux,,Volkswagen,,2011,6103001,,29502,19,
SKU-0477,Amort. Renault Sandero 2015 Bosch,Bosch,shock,Renault,Sandero,,W8491,,$32.120,18,
SKU-0033,SKF Amortiguador Trasero FZ16 2015,SKF,shock,Yamaha,FZ16,2015,98806-49520,,$ 51141,57,
SKU-0456,Shock Yamaha FZ16 2019 Champion,Champion,,Yamaha,FZ16,2019,W1984,,32818,43,
SKU-0563,FLUIDO DE FRENOS Valeo,Valeo,brake_fluid,Chevrolet,,2016,5316723,,32512,26,
REF0737,Correa de tiempo Renault Sandero 2019,Mahle,timing_belt,Renault,Sandero,2019,3275421,,15025,19,
REF0091,Lampara H7 Bajaj Boxer 2017,SKF,,Bajaj,Boxer,,1473457,,$69.817,8,
SKU-0274,Plumillas Yaris Mann,Mann,,,Yaris,,99056-35490,,85120,27,
P00243,Amort. Renault Sandero 2019,Fram,shock,Renault,Sandero,2019,B2138,,26836.00,22,
SKU-0038,Timing Belt Mazda 2 Mahle,Mahle,timing_belt,Mazda,2,,5411852,,9455.00,41,
P00576,Embrague Yaris 2019,Purflux,clutch_kit,Toyota,Yaris,2019,97306-87871,,53715,41,
SKU-0364,SKF correa poly-v Rio 2015,SKF,,Kia,Rio,,,,$ 17461,46,
SKU-0203,Drive Belt Renault Sanndero,TRW,serpentine_belt,,Sandero,2017,S6312,,241978,14,
SKU-0675,A.Filter Versa,SKF,air_filter,Nissan,Versa,,90095-65657,,$14.431,52,
SKU-0414,Gates Aceite Motor 5w-30 4L,Gates,,Volkswagen,Gol,2011,,,68031,23,
P00673,Bateria Honda CB125 2016,Wix,battery,,,,,,22265,few,
SKU-0305,A.Filter GN125 2014 Wix,Wix,,,GN125,2014,W1327,,$53.649,few,
REF0244,Embrague Nissan Sentra 2018 Fram,Fram,clutch_kit,,,,A5667,,66162,agotado,
SKU-0599,Kit Clutch 2 2015,Monroe,clutch_kit,Mazda,,2015,,,$ 50573,44,
SKU-0054,Acumulador Yamaha FZ16 2017,Mahle,,Yamaha,FZ16,,91718-11618,,COP 85256,few,
P00634,Bulb H4 12V 60/55W Chevrolet Sail 2019 TRW,TRW,bulb,Chevrolet,Sail,2019,,,$20.080,35,
SKU-0321,Filtro de Cabina Chevrolet Sail 2019 TRW,TRW,,,Sail,,2654998,,$ 34482,59,
B-0554,Pastillas de Freno OEM,OEM,brake_pad,,NMAX,2022,OEM 96327,,COP 50700,22,
P00296,ACEITE MOTOR 10w40 x1L Hengst,Hengst,,Yamaha,NMAX,2022,98185-83803,,COP 66847,4,
REF0553,BUJÍA Toyota Yaris 2014 Generic,Generic,spark_plug,Toyota,,2014,OEM 82909,,$13.821,10,
P00267,Past. Freno Suzuki GN125,Mahle,,Suzuki,,2012,W3513,,28755.00,4,
SKU-0585,Bujia de encendido Honda XR150 2020 NGK,NGK,spark_plug,Honda,XR150,2020,,,52382,2,
P00496,Brake Rotor Hilux,,,Toyota,Hilux,,92608-53827,,120647,56,
SKU-0806,filtro habitaculo Champion,Champion,cabin_filter,Chevrolet,Sail,2017,8540015,,COP 28840,20,reemplazado por P00805
SKU-0505,Shock Absorber Bajaj Boxer 2017 Valeo,Valeo,shock,,Boxer,2017,7665307,,$120.754,47,
SKU-0282,Bulb H4 NGK,NGK,bulb,Kia,Rio,2017,OEM 68385,,$51.891,59,
SKU-0635,Foco H4 12V 60/55W Spark Valeo,Valeo,bulb,,Spark,,OEM 10507,,165222,60,
SKU-0095,Gates Liquido de Frenos,Gates,,Toyota,Hilux,,S7505,,$241.837,,
SKU-0034,Engine Oil 0W-20 x1L,OEM,engine_oil,Honda,XR150,2016,,,34795,,
SKU-0396,Drive Chain Yamaha NMAX 2018,,chain,,NMAX,2018,S8808,,$ 21583,45,
P00060,CLUTCH Spark 2015,Dayco,clutch_kit,Chevrolet,Spark,2015,90071-55587,,$50.391,12,
REF0145,Aceite Motor 15W-40 x1L Purflux,Purflux,engine_oil,Honda,XR150,,B8541,,$ 16523,42,
B-0807,Liquido de Frenos SKF,SKF,brake_fluid,Nissan,,,,,120782,60,
SKU-0832,Oil Filter,Hengst,,Toyota,Hilux,2012,98845-40403,,119157.00,59,reemplazado por C-0831
SKU-0065,Bosch Bateria AKT NKD125 2019,Bosch,battery,AKT,NKD125,2019,B3035,,51771,7,
SKU-0556,Disco Freno Mann,Mann,brake_disc,Renault,Logan,2014,4285899,,$ 69754,54,
SKU-0666,Champion Filtro Aceite Toyota Hilux 2016,Champion,,Toyota,,,,,$ 44162,34,
SKU-0749,TRW Disco,TRW,,Chevrolet,,2013,97524-35762,,14577,27,
SKU-0652,Wheel Bearing Toyota Yaris 2019 Denso,Denso,wheel_bearing,Toyota,Yaris,,B7764,,9466,,
REF0281,Hengst Filtro de Aceite Boxer 2013,Hengst,,Bajaj,Boxer,2013,7268549,,COP 20368,50,
SKU-0328,SKF Lubricante Motor 10W-40 Mineral,,engine_oil,AKT,NKD125,2019,98001-33034,,21110,39,
P00459,Bujia de encendido CB125 2018 Mann,Mann,,Honda,,,1482161,,$ 165008,7,
SKU-0697,BOMBILLA H4 12V 60/55W Sail,Wix,bulb,Chevrolet,,2015,,,$241.867,27,
SKU-0101,Bosch Balinera Nissan Versa 2019,Bosch,,Nissan,Versa,2019,OEM 41804,,$ 32836,1,
P00179,Wiper Blade Renault Logan 2014 Gates,Gates,,Renault,Logan,,OEM 48827,,$ 166220,47,
M-0320,OEM Brake Disc Spark 2011,OEM,brake_disc,,Spark,2011,99866-17865,,238752,55,
C-0668,Brake Fluid Valeo,Valeo,brake_fluid,,Sail,,94474-67171,,32319.00,25,
SKU-0706,Sachs Aceite de Motor 0W-20 Mineral,Sachs,engine_oil,AKT,NKD125,2015,91982-94334,,26846,58,
SKU-0771,Filtro Aceite Denso,Denso,oil_filter,Volkswagen,Gol,2014,S7191,,26538,53,posible duplicado
SKU-0810,Mahle Refrigerante Sandero,Mahle,coolant,,Sandero,2017,OEM 90906,,$69.973,35,reemplazado por REF0809
